title,perex,date,link
Президентка Єврокомісії про ситуацію в Грузії: країна «перебуває на роздоріжжі»,"«Я з великим занепокоєнням стежу за ситуацією в Грузії і засуджую насильство на вулицях Тбілісі.», – йдеться у заяві.","23:00, 01 травня 2024",https://www.radiosvoboda.org/a/news-hruziya-protest-rozhin-yevrokomisiya/32929537.html
Уряд працює над обмеженням супутникової зйомки території України – Міноборони,"Представники Міноборони зустрілися зі працівниками «єдиної компанії», яка забезпечує щодобову фотозйомку усієї планети з роздільною здатністю 3-5 метрів","22:30, 01 травня 2024",https://www.radiosvoboda.org/a/news-uriad-suputnykova-zyomka-ukrainy/32929527.html
"Грузія: у Тбілісі силовики почали розганяти учасників мітингу, застосовують водомети","У МВС заявили, що учасники акції поводилися агресивно та намагалися пошкодити вхідні двері парламенту","22:16, 01 травня 2024",https://www.radiosvoboda.org/a/news-hruziya-protest-rozhin/32929520.html
Прокуратура: кількість постраждалих через удар Росії по Золочеву зросла до 13,"Серед поранених: шість цивільних чоловіків, шість жінок та 11-річний хлопчик","21:57, 01 травня 2024",https://www.radiosvoboda.org/a/news-prokuratura-zolochiv-poraneni/32929509.html
У Міноборони обіцяють «найближчим часом» впровадити «електронну чергу» до ТЦК,"«Я думаю, що найближчим часом зможемо розгорнути електронну чергу для відвідування ТЦК та СП. Зробимо це достатньо швидко», – cказала Катерина Черногоренко.","21:52, 01 травня 2024",https://www.radiosvoboda.org/a/news-minoborony-elektronna-cherha-ttsk/32929505.html
Іран: водії вантажівок протестують через скорочення квот на пальне,"Зменшення квот на паливо збільшило витрати операторів, у свою чергу підвищивши ціни на товари та послуги для широких верств населення","21:38, 01 травня 2024",https://www.radiosvoboda.org/a/news-iran-vodii-vantazhivky-skorochennia-kvot-palyvo/32929500.html
США ввели нові санкції проти РФ: до санкційного списку потрапила авіакомпанія «Перемога»,"Список санкцій, що включає вже більше тисячі осіб і організацій, розширився на понад 200 позицій","21:24, 01 травня 2024",https://www.radiosvoboda.org/a/news-ssha-sanktsiyi-rosiya/32929492.html
"«Застосунок запрацює 18 травня»: у Міноборони пояснили, як працюватиме е-кабінет військовозобов’язаних","Для оновлення даних в е-кабінеті військовозобов’язаного потрібно буде завантажити мобільний застосунок, авторизуватися і заповнити необхідні «поля»","20:55, 01 травня 2024",https://www.radiosvoboda.org/a/news-minoborony-e-kabinet-viyskovozobovyazani/32929478.html
Президент звільнив очільника Департаменту кібербезпеки СБУ Вітюка,Раніше Вітюка відсторонили від посади у зв’язку з перевіркою даних про спробу вручити повістку журналісту «Слідство.Інфо»,"20:50, 01 травня 2024",https://www.radiosvoboda.org/a/news-zelensky-zvilnennia-vitiuk/32929473.html
"Зеленський заявив про підготовку семи нових безпекових угод, зокрема зі США","«Наповнюємо драфти угод сильнішими можливостями для України та для нашої спільної з партнерами безпеки», – заявив Зеленський","20:35, 01 травня 2024",https://www.radiosvoboda.org/a/news-zelenskyy-bezpekovi-uhody/32929464.html
"У поліції розповіли, як збільшилася кількість вилученої зброї за час повномасштабного вторгнення",Кількість проваджень на рік на тлі повномасштабного вторгнення Росії зросла на майже 1400,"20:33, 01 травня 2024",https://www.radiosvoboda.org/a/news-politsia-nezakonnyi-obih-zbroi/32929462.html
Парламент Грузії ухвалив закон про «іноагентів» у другому читанні,"Президентка Зурабішвілі пообіцяла ветувати документ, якщо його ухвалять у третьому читанні, проте правляча партія може подолати вето","20:31, 01 травня 2024",https://www.radiosvoboda.org/a/news-parlament-hruzii-zakon-pro-inoahentiv-druhe-chytannya/32929460.html
Влада Сумщини повідомила про додаткові обмеження в прикордонних районах,Ідеться про 15 територіальних громад,"20:12, 01 травня 2024",https://www.radiosvoboda.org/a/news-sumshchyna-obmezhennya-rf/32929449.html
Центр страткомунікацій спростовує інформацію про нібито удар по штабу ЗСУ в Одесі,,"19:45, 01 травня 2024",https://www.radiosvoboda.org/a/news-odesa-udar-sprostuvannya/32929434.html
Генштаб повідомив про 100 бойових зіткнень на фронті,"За повідомленням, найбільше атак – 33 – було на Авдіївському напрямку","19:40, 01 травня 2024",https://www.radiosvoboda.org/a/news-henshtab-zvedennia/32929433.html
США та їхні союзники тиснуть на ОАЕ через торгівлю з Росією та санкції – Reuters,"Американські, британські та європейські чиновники відвідали ОАЕ минулого тижня","19:05, 01 травня 2024",https://www.radiosvoboda.org/a/news-oae-tysk-zakhid-sanktsiyi/32929406.html
«Безпрецедентна статистика». У поліції заявили про значне зростання випадків ДТП із нетверезими водіями,«Вже за чотири місяці цього року ми маємо знову ж таки безпрецедентну статистику: зафіксували вже майже 50 тисяч випадків керування автомобілем у стані сп’яніння»,"19:01, 01 травня 2024",https://www.radiosvoboda.org/a/news-dtp-netverezi-vodii/32929403.html
